,imdb_rating,rotten_tomatoes_score,votos_log,presupuesto_log,awards_won,hours_watched_million,duracion_total,antiguedad,cluster,cluster_nombre
0,6.3,56,9.37203396097417,2.815408719422709,0,7,102.0,19,3,Contenido Promedio
1,7.5,80,8.434463543817241,5.225208894727398,0,4,105.0,30,3,Contenido Promedio
2,8.6,82,9.864070820172335,2.917770732084279,1,31,92.0,0,2,Joya de Critica
3,5.5,73,11.413193523571218,2.079441541679836,0,51,117.0,32,3,Contenido Promedio
4,6.1,62,8.77770959579525,2.9444389791664403,0,12,139.0,39,3,Contenido Promedio
5,8.3,77,11.519245451715046,3.770459441106359,1,75,124.0,22,2,Joya de Critica
6,7.7,82,6.941190055068375,0.0,0,1,2700.0,12,1,Nicho Subestimado
7,6.6,68,10.723839907331362,0.0,1,65,540.0,0,1,Nicho Subestimado
8,6.5,49,8.937349848267392,2.26176309847379,0,7,86.0,4,3,Contenido Promedio
9,5.4,48,11.007253206445032,2.4595888418037104,0,108,101.0,9,3,Contenido Promedio
10,6.2,55,9.657650950674242,0.0,0,7,2970.0,10,1,Nicho Subestimado
11,8.5,86,9.4869867748077,3.1135153092103742,0,19,98.0,9,2,Joya de Critica
12,9.0,97,8.212025804623437,0.0,8,5,450.0,13,2,Joya de Critica
13,7.2,69,10.42385748414504,1.667706820558076,0,81,125.0,5,3,Contenido Promedio
14,8.0,78,6.4457198193855785,0.0,0,0,1800.0,3,1,Nicho Subestimado
15,5.9,61,10.091915427761844,0.0,0,28,2160.0,1,1,Nicho Subestimado
16,6.6,59,9.868999622077457,1.33500106673234,0,10,95.0,11,3,Contenido Promedio
17,7.6,79,11.508154100091335,0.4700036292457356,3,228,120.0,6,2,Joya de Critica
18,7.4,69,8.761393485256058,2.9806186357439426,0,13,134.0,3,3,Contenido Promedio
19,5.8,58,8.130647968160584,3.068052935133617,0,6,86.0,11,3,Contenido Promedio
20,8.1,66,8.545780648268149,2.3513752571634776,0,3,147.0,5,2,Joya de Critica
21,6.1,58,10.943499211400042,2.917770732084279,0,69,136.0,4,3,Contenido Promedio
22,6.9,68,11.433146055963888,2.5877640352277083,0,200,129.0,0,3,Contenido Promedio
23,5.0,52,10.44371662667136,0.0,0,84,2160.0,4,1,Nicho Subestimado
24,5.6,65,8.34212526333359,3.7932394694381792,0,3,136.0,2,3,Contenido Promedio
25,6.9,53,11.7210771984652,0.0,0,230,540.0,13,1,Nicho Subestimado
26,4.9,46,4.927253685157205,0.0,0,0,720.0,1,1,Nicho Subestimado
27,8.3,76,9.938565079148823,0.0,1,46,5940.0,28,1,Nicho Subestimado
28,8.5,85,9.962133747968862,0.0,0,38,990.0,2,2,Joya de Critica
29,6.8,54,7.9355873855892,0.0,1,4,360.0,1,1,Nicho Subestimado
30,6.5,66,7.418780882750794,0.0,0,1,1980.0,6,1,Nicho Subestimado
31,7.6,82,8.001019961323651,4.204692619390966,1,5,141.0,3,2,Joya de Critica
32,8.5,99,3.9318256327243257,0.0,1,0,1080.0,31,2,Joya de Critica
33,5.5,62,8.898638793680181,4.00369019395397,0,3,95.0,17,3,Contenido Promedio
34,6.5,66,5.75890177387728,2.5649493574615367,0,0,93.0,2,3,Contenido Promedio
35,9.0,79,9.48978863950086,2.26176309847379,0,13,110.0,3,2,Joya de Critica
36,6.8,48,11.495596176448409,0.0,0,149,540.0,10,1,Nicho Subestimado
37,7.2,60,6.754604099487962,2.163323025660538,0,1,114.0,23,3,Contenido Promedio
38,6.3,53,12.953487816678573,4.3528552573736015,0,318,153.0,2,3,Contenido Promedio
39,7.5,90,9.402859753746585,0.0,0,8,450.0,6,2,Joya de Critica
40,7.0,74,9.298809019963793,0.0,0,9,900.0,1,1,Nicho Subestimado
41,6.6,83,10.677546293976553,0.0,0,105,900.0,5,1,Nicho Subestimado
42,5.4,49,8.25088114470065,0.0,0,2,450.0,6,1,Nicho Subestimado
43,7.0,76,9.39424400995279,0.0,0,24,540.0,18,1,Nicho Subestimado
44,5.4,55,6.827629234502852,2.6100697927420065,0,1,40.0,2,3,Contenido Promedio
45,6.4,64,6.639875833826536,0.0,0,1,1620.0,0,1,Nicho Subestimado
46,6.2,64,7.150701457592526,3.417726683613366,0,1,156.0,9,3,Contenido Promedio
47,8.1,59,10.038455412946613,0.0,1,37,900.0,10,1,Nicho Subestimado
48,7.2,54,12.9130610922786,1.9315214116032136,0,918,81.0,4,3,Contenido Promedio
49,8.3,85,9.36691667901828,4.400603020246817,0,15,64.0,9,2,Joya de Critica
50,7.0,72,9.8568675319009,4.018183201256536,0,18,128.0,15,3,Contenido Promedio
51,6.2,70,5.71042701737487,4.398146016553765,0,0,77.0,9,3,Contenido Promedio
52,6.4,52,10.123546350888414,3.005682604407159,0,42,118.0,4,3,Contenido Promedio
53,8.1,77,6.35088571671474,5.49141399650995,0,0,102.0,15,3,Contenido Promedio
54,7.4,69,3.9318256327243257,4.4343818650078095,0,0,113.0,17,3,Contenido Promedio
55,7.6,73,5.493061443340548,0.0,0,0,540.0,10,1,Nicho Subestimado
56,7.7,82,9.202711344811693,1.589235205116581,0,8,157.0,14,2,Joya de Critica
57,4.3,53,10.259096928959387,3.990834185852436,0,67,103.0,8,3,Contenido Promedio
58,6.1,69,9.507329003748264,2.9391619220655967,0,18,108.0,4,3,Contenido Promedio
59,5.9,59,8.861491864286915,2.4932054526026954,0,5,97.0,0,3,Contenido Promedio
60,6.4,68,9.61092693263324,0.0,0,28,1620.0,6,1,Nicho Subestimado
61,8.2,87,10.010187171195184,0.0,0,44,900.0,9,2,Joya de Critica
62,7.6,77,5.313205979041787,1.840549633397487,1,0,127.0,10,2,Joya de Critica
63,5.0,33,4.584967478670572,3.186352633162641,0,0,110.0,18,3,Contenido Promedio
64,6.8,83,9.129564061948894,2.476538400117484,0,8,146.0,2,2,Joya de Critica
65,7.5,74,12.586971799693089,0.0,0,238,360.0,12,1,Nicho Subestimado
66,6.9,63,9.733884768149949,0.0,0,12,2520.0,2,1,Nicho Subestimado
67,6.4,61,9.301916315463393,0.0,0,5,2160.0,3,1,Nicho Subestimado
68,5.8,64,7.423568444259167,2.2192034840549946,0,3,135.0,10,3,Contenido Promedio
69,8.0,77,10.325449175172755,0.0,0,30,900.0,4,2,Joya de Critica
70,6.0,54,6.593044534142437,1.916922612182061,0,1,103.0,8,3,Contenido Promedio
71,6.8,63,8.426173793029069,3.387774361330014,0,3,115.0,31,3,Contenido Promedio
72,7.1,62,8.197538739721184,0.0,0,3,450.0,10,1,Nicho Subestimado
73,5.4,56,9.156306483483696,0.0,0,6,1080.0,0,1,Nicho Subestimado
74,6.0,54,8.262558973010657,3.586292865338835,0,1,85.0,1,3,Contenido Promedio
75,7.0,67,7.062191632286556,2.128231705849268,0,2,107.0,6,3,Contenido Promedio
76,7.6,64,11.504056249501163,0.0,1,84,450.0,4,2,Joya de Critica
77,7.5,66,10.537680590252403,1.0986122886681098,0,68,112.0,4,3,Contenido Promedio
78,7.3,76,9.52908496987978,0.0,0,33,540.0,4,1,Nicho Subestimado
79,7.2,73,12.808107323697492,0.4054651081081644,0,609,101.0,13,2,Joya de Critica
80,7.3,74,7.878912912297133,3.0633909220278057,0,5,87.0,32,3,Contenido Promedio
81,7.9,63,5.834810737062605,0.0,2,0,450.0,4,2,Joya de Critica
82,6.5,53,7.932721027481948,2.70805020110221,0,3,80.0,6,3,Contenido Promedio
83,7.8,66,8.438582790834326,0.0,0,10,270.0,22,1,Nicho Subestimado
84,7.7,86,4.564348191467836,0.0,0,0,720.0,24,2,Joya de Critica
85,8.3,83,6.824373670043086,0.0,0,1,1350.0,16,2,Joya de Critica
86,5.3,55,7.917900586327916,3.214867803470662,0,4,168.0,5,3,Contenido Promedio
87,7.3,58,6.877296071497429,2.8094026953624978,0,1,60.0,31,3,Contenido Promedio
88,5.5,55,8.637639344492104,0.0,0,9,450.0,8,1,Nicho Subestimado
89,5.3,42,11.142021191163188,3.190476350346503,0,37,92.0,21,3,Contenido Promedio
90,8.0,78,6.131226489483141,1.410986973710262,3,0,83.0,9,2,Joya de Critica
91,7.2,71,6.045005314036012,0.0,1,1,1980.0,9,1,Nicho Subestimado
92,7.0,64,4.356708826689592,0.0,0,0,540.0,14,1,Nicho Subestimado
93,6.3,69,9.127284796838858,2.302585092994046,0,14,89.0,0,3,Contenido Promedio
94,7.3,77,9.881650857926951,0.0,0,35,3600.0,7,1,Nicho Subestimado
95,5.6,68,12.230633542129302,0.0,0,466,720.0,3,1,Nicho Subestimado
96,8.3,85,9.972733725272942,3.261935314328648,0,18,118.0,5,2,Joya de Critica
97,6.3,68,9.24212969446559,2.9444389791664403,0,17,112.0,4,3,Contenido Promedio
98,7.8,73,7.195937226475569,4.411585436915426,3,1,120.0,3,2,Joya de Critica
99,6.3,57,8.540714386457584,3.763522997109702,0,9,159.0,10,3,Contenido Promedio
100,5.9,71,9.706803344906335,0.0,0,13,3150.0,8,1,Nicho Subestimado
101,5.6,74,7.102499355774649,4.046553898385752,0,1,142.0,8,3,Contenido Promedio
102,6.5,73,9.75927070177572,2.5877640352277083,0,27,110.0,1,3,Contenido Promedio
103,7.0,76,10.886314808210528,2.5726122302071057,0,70,95.0,1,3,Contenido Promedio
104,5.5,49,6.844815479208263,3.3032169733019514,0,0,97.0,8,3,Contenido Promedio
105,7.4,80,7.954021087278037,2.5952547069568657,0,2,117.0,4,2,Joya de Critica
106,6.3,66,10.9124668489642,0.0,0,98,2700.0,32,1,Nicho Subestimado
107,6.3,71,8.279697133877628,2.151762203259462,0,6,122.0,28,3,Contenido Promedio
108,6.6,66,8.36799688505411,0.0,0,2,3780.0,14,1,Nicho Subestimado
109,8.2,84,6.918695219020472,3.493472657771326,1,1,110.0,41,2,Joya de Critica
110,7.0,73,8.232440158470336,1.7047480922384253,0,1,126.0,0,3,Contenido Promedio
111,8.5,84,14.612335539210983,3.962716119743664,1,3740,141.0,37,0,Blockbuster Costoso
112,7.8,84,9.915317304289704,0.0,0,17,1440.0,10,1,Nicho Subestimado
113,6.1,64,10.487070951635932,2.0541237336955462,0,87,142.0,12,3,Contenido Promedio
114,5.5,62,9.572619582634749,1.3862943611198906,0,6,95.0,6,3,Contenido Promedio
115,7.9,73,6.951772164398911,3.456316680883235,1,1,74.0,4,2,Joya de Critica
116,7.4,86,7.475905969367397,4.660604892876192,1,2,125.0,21,2,Joya de Critica
117,6.0,73,8.36240897761537,0.0,0,9,990.0,25,1,Nicho Subestimado
118,6.3,61,8.326274787396764,2.2192034840549946,0,4,139.0,2,3,Contenido Promedio
119,7.0,77,9.585277541715389,0.0,0,35,1440.0,16,1,Nicho Subestimado
120,6.7,77,7.278628942320682,2.066862759472976,0,1,108.0,17,3,Contenido Promedio
121,5.4,46,9.6445872815098,2.468099531471619,0,14,57.0,2,3,Contenido Promedio
